damagedZipCode,lattitude,longitude,Count
77004,29.724893,-95.363752,1
77005,29.718435,-95.423555,1
77007,29.771545,-95.411083,1
77008,29.798249,-95.416933,1
77012,29.718525,-95.274137,3
77013,29.795268,-95.233977,12
77015,29.76393,-95.173121,13
77016,29.862532,-95.29998,4
77017,29.689824,-95.252393,3
77019,29.75415,-95.409498,1
77020,29.773179,-95.314327,4
77021,29.69843,-95.3569,4
77023,29.721825,-95.318275,1
77024,29.772179,-95.514203,57
77025,29.685706,-95.434764,13
77026,29.800187,-95.328888,3
77027,29.740079,-95.446409,1
77028,29.827869,-95.287485,31
77029,29.759665,-95.256251,2
77030,29.706787,-95.401748,1
77032,29.987805,-95.353412,4
77033,29.66688,-95.335133,4
77034,29.61951,-95.191644,4
77035,29.655503,-95.471663,7
77037,29.89036,-95.392527,5
77038,29.918595,-95.441194,2
77039,29.911171,-95.341182,8
77041,29.8586,-95.580768,44
77042,29.741325,-95.560254,41
77043,29.81093,-95.584639,2
77057,29.744081,-95.487974,7
77059,29.613602,-95.11937,1
77060,29.935512,-95.397624,1
77061,29.647023,-95.276656,1
77062,29.573552,-95.130613,1
77063,29.736295,-95.523292,11
77065,29.926473,-95.60379,6
77066,29.957234,-95.503258,2
77068,30.007063,-95.488362,19
77069,29.988455,-95.5312,11
77070,29.979648,-95.572877,23
77071,29.651728,-95.519919,2
77073,29.999166,-95.400119,15
77074,29.687947,-95.515725,6
77075,29.62042,-95.268939,8
77076,29.860021,-95.382184,1
77077,29.750233,-95.615383,32
77078,29.852397,-95.2541,49
77079,29.776093,-95.603037,209
77084,29.827486,-95.65992,134
77085,29.620509,-95.485333,1
77088,29.881487,-95.452619,1
77089,29.586959,-95.225601,17
77090,30.00824,-95.438996,38
77091,29.853067,-95.435966,3
77093,29.8634,-95.341409,2
77094,29.769285,-95.681292,7
77095,29.909513,-95.651476,2
77096,29.675339,-95.479372,16
77345,30.053105,-95.157943,1
77338,30.017301,-95.286217,147
77339,30.046777,-95.221022,5
77346,29.994499,-95.177499,47
77396,29.945205,-95.259778,9
77450,29.745247,-95.741783,249
77493,29.853215,-95.831456,7
77494,29.740677,-95.829652,5
77339,30.046777,-95.221022,211
77345,30.053105,-95.157943,206
77346,29.994499,-95.177499,5
77581,29.561554,-95.279739,29
77584,29.545041,-95.350629,2
77546,29.515074,-95.192133,127
