damagedZipCode,Count,lattitude,longitude
77450,249,29.745247,-95.741783
77339,211,30.046777,-95.221022
77079,209,29.776093,-95.603037
77345,206,30.053105,-95.157943
77338,147,30.017301,-95.286217
77084,134,29.827486,-95.65992
77546,127,29.515074,-95.192133
77024,57,29.772179,-95.514203
77078,49,29.852397,-95.2541
77346,47,29.994499,-95.177499
77041,44,29.8586,-95.580768
77042,41,29.741325,-95.560254
77090,38,30.00824,-95.438996
77077,32,29.750233,-95.615383
77028,31,29.827869,-95.287485
77581,29,29.561554,-95.279739
77070,23,29.979648,-95.572877
77068,19,30.007063,-95.488362
77089,17,29.586959,-95.225601
77096,16,29.675339,-95.479372
77073,15,29.999166,-95.400119
77015,13,29.76393,-95.173121
77025,13,29.685706,-95.434764
77013,12,29.795268,-95.233977
77063,11,29.736295,-95.523292
77069,11,29.988455,-95.5312
