damagedZipCode,count,lattitude,longitude
77004,1,29.724893,-95.363752
77005,1,29.718435,-95.423555
77007,1,29.771545,-95.411083
77008,1,29.798249,-95.416933
77012,3,29.718525,-95.274137
77013,12,29.795268,-95.233977
77015,13,29.76393,-95.173121
77016,4,29.862532,-95.29998
77017,3,29.689824,-95.252393
77019,1,29.75415,-95.409498
77020,4,29.773179,-95.314327
77021,4,29.69843,-95.3569
77023,1,29.721825,-95.318275
77024,57,29.772179,-95.514203
77025,13,29.685706,-95.434764
77026,3,29.800187,-95.328888
77027,1,29.740079,-95.446409
77028,31,29.827869,-95.287485
77029,2,29.759665,-95.256251
77030,1,29.706787,-95.401748
77032,4,29.987805,-95.353412
77033,4,29.66688,-95.335133
77034,4,29.61951,-95.191644
77035,7,29.655503,-95.471663
77037,5,29.89036,-95.392527
77038,2,29.918595,-95.441194
77039,8,29.911171,-95.341182
77041,44,29.8586,-95.580768
77042,41,29.741325,-95.560254
77043,2,29.81093,-95.584639
77057,7,29.744081,-95.487974
77059,1,29.613602,-95.11937
77060,1,29.935512,-95.397624
77061,1,29.647023,-95.276656
77062,1,29.573552,-95.130613
77063,11,29.736295,-95.523292
77065,6,29.926473,-95.60379
77066,2,29.957234,-95.503258
77068,19,30.007063,-95.488362
77069,11,29.988455,-95.5312
77070,23,29.979648,-95.572877
77071,2,29.651728,-95.519919
77073,15,29.999166,-95.400119
77074,6,29.687947,-95.515725
77075,8,29.62042,-95.268939
77076,1,29.860021,-95.382184
77077,32,29.750233,-95.615383
77078,49,29.852397,-95.2541
77079,209,29.776093,-95.603037
77084,134,29.827486,-95.65992
77085,1,29.620509,-95.485333
77088,1,29.881487,-95.452619
77089,17,29.586959,-95.225601
77090,38,30.00824,-95.438996
77091,3,29.853067,-95.435966
77093,2,29.8634,-95.341409
77094,7,29.769285,-95.681292
77095,2,29.909513,-95.651476
77096,16,29.675339,-95.479372
77345,1,30.053105,-95.157943
77338,147,30.017301,-95.286217
77339,5,30.046777,-95.221022
77346,47,29.994499,-95.177499
77396,9,29.945205,-95.259778
77450,249,29.745247,-95.741783
77493,7,29.853215,-95.831456
77494,5,29.740677,-95.829652
77339,211,30.046777,-95.221022
77345,206,30.053105,-95.157943
77346,5,29.994499,-95.177499
77581,29,29.561554,-95.279739
77584,2,29.545041,-95.350629
77373,61,30.062169,-95.383966
77388,46,30.057802,-95.470985
77389,12,30.123469,-95.517064
77479,42,29.566996,-95.636016
77380,2,30.136972,-95.46836
77381,1,30.178248,-95.50096
77546,127,29.515074,-95.192133
